"CO_CURSO","NO_CURSO","FK_CO_IES"
3402,ENGENHARIA CIVIL,57
3403,ENGENHARIA QUÍMICA,57
3405,FÍSICA,57
3406,QUÍMICA,57
3407,MATEMÁTICA,57
3408,CIÊNCIAS BIOLÓGICAS,57
3410,EDUCAÇÃO FÍSICA,57
3411,FARMÁCIA,57
3412,ZOOTECNIA,57
3413,AGRONOMIA,57
3415,CIÊNCIAS CONTÁBEIS,57
3416,PEDAGOGIA,57
3417,ODONTOLOGIA,57
3418,MEDICINA,57
3419,CIÊNCIA DA COMPUTAÇÃO,57
3421,ENGENHARIA TÊXTIL,57
3422,CIÊNCIAS,57
3482,DIREITO,58
3484,DIREITO,59
3486,CIÊNCIAS CONTÁBEIS,60
3487,CIÊNCIAS ECONÔMICAS,60
3488,ADMINISTRAÇÃO,60
3492,EDUCAÇÃO FÍSICA,1870
3495,LETRAS,1870
3497,PEDAGOGIA,1870
3499,HISTÓRIA,1870
3513,ENGENHARIA DE ALIMENTOS,3641
3527,ODONTOLOGIA,3641
3529,ADMINISTRAÇÃO,3641
3530,ENGENHARIA CIVIL,67
3531,CIÊNCIA DA COMPUTAÇÃO,67
3532,ENGENHARIA AMBIENTAL E SANITÁRIA,67
3536,PEDAGOGIA,68
3542,ADMINISTRAÇÃO,68
3558,ADMINISTRAÇÃO,71
3559,CIÊNCIAS ECONÔMICAS,71
3560,CIÊNCIAS CONTÁBEIS,71
3561,PEDAGOGIA,71
3562,SERVIÇO SOCIAL,71
3563,EDUCAÇÃO FÍSICA,71
3564,ENFERMAGEM,71
3567,CIÊNCIAS SOCIAIS,71
3568,HISTÓRIA,71
3569,GEOGRAFIA,71
3570,DIREITO,71
3571,MATEMÁTICA,71
